Data Source																																																															
																																																															
Last Updated Date																																																															
																																																															
Country Name	Sex	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
Denmark	male	2271887	2287835	2305620	2323804	2342409	2360634	2379611	2398283	2412623	2425568	2443340	2459678	2472966	2487020	2497465	2503551	2508825	2515595	2522345	2527367	2529219	2527328	2524450	2521866	2519813	2520349	2523448	2526516	2527786	2529466	2533756	2540706	2549727	2559006	2568425	2582617	2598070	2609700	2620021	2629626	2639463	2649869	2659320	2667415	2674861	2682791	2692287	2705030	2721812	2737217	2750241	2762387	2773637	2786137	2801192	2821999	2845175	2864553	2879718	2890926	2900148	2913397
Dominican Republic	male	1656257	1710688	1766296	1822875	1880396	1936949	1994508	2054711	2114983	2175307	2235957	2297049	2358664	2421030	2483928	2547084	2610764	2674916	2739419	2804055	2868585	2932965	2997552	3063442	3130709	3198389	3266474	3335442	3405865	3478372	3552383	3626593	3700622	3774635	3853829	3937354	4019019	4098186	4174323	4248886	4323440	4397423	4464921	4526492	4587454	4647506	4706176	4763782	4822328	4882666	4943959	5005175	5065869	5126060	5185752	5244874	5303141	5360426	5416994	5472410	5527482	5582224
Algeria	male	5746360	5851587	5954588	6066402	6193711	6319873	6449477	6594125	6744222	6897626	7053525	7214230	7382470	7559395	7746261	8034349	8425545	8745371	8996184	9264854	9552367	9859599	10185106	10527322	10884956	11257214	11634586	11989452	12322605	12651234	12970400	13282430	13592789	13898591	14191896	14462522	14736488	15025934	15272209	15482799	15698203	15912853	16126874	16346159	16578139	16806416	17050923	17330466	17628560	17946941	18282636	18632179	18995990	19371095	19755734	20152232	20556314	20961313	21362603	21756903	22132899	22497244
East Asia & Pacific (excluding high income)	male	455230136	454682805	460479426	472130310	483593415	495328766	508768363	521897980	535565954	550128917	565162628	580561151	595103598	609141891	622368097	634231417	645134273	655458435	665941039	676502639	686860232	697629101	709571020	721561064	733012244	744825895	757424185	770814229	784407518	797756121	810942560	823689946	835776988	847498674	859090833	870401254	881523278	892553543	903146096	913059401	922415505	931294437	939747096	947881427	955787434	963651866	971362191	978879673	986318360	993631881	1000840020	1008515220	1017165131	1025687028	1033864093	1041647406	1049344911	1057129802	1063749900	1069462547	1074125518	1077290074
Early-demographic dividend	male	500711103	513394689	526487293	539955080	553801819	567637686	581497804	595864599	610721373	626002817	641519883	656766942	672508806	689338781	706513216	723843889	741272374	759099051	777456210	796394679	816284809	837471746	859045379	880406265	901896396	923657251	945963751	968766165	991864817	1015188118	1040071662	1064276197	1087652699	1110377246	1132555986	1155171202	1178914365	1202785177	1226362452	1249733385	1273338151	1297125297	1320234463	1342900131	1365699438	1388276456	1410770928	1433324739	1455316842	1477208147	1499727085	1522358793	1544413537	1566282863	1588279881	1610397094	1632070646	1653176390	1673978308	1694442807	1713983642	1731910754
East Asia & Pacific	male	528102821	528741945	535823418	548766251	561525332	574581364	589258483	603498794	618452478	634439178	650907698	668269102	684262864	699749851	714468097	727681155	739775495	751234823	762813426	774530338	785977493	797875245	810930994	823954148	836332403	848996984	862386130	876572490	890945501	905090262	919017238	932572836	945357215	957751266	970035315	982007601	993876410	1005518241	1016708090	1027087563	1036946673	1046374444	1055253166	1063713035	1071867892	1079946346	1088047263	1096077320	1104102017	1111842701	1119427344	1127420396	1136458441	1145321788	1153868932	1162026758	1170090411	1178160110	1185059834	1191040454	1195725107	1198378605
Europe & Central Asia (excluding high income)	male	118180773	120399023	122613719	124822100	127014769	129140872	130942308	132736954	134506346	136226541	137747458	139304649	141053742	142801703	144549032	146260462	147998349	149736422	151473363	153188806	154938405	156708095	158474900	160310804	162277421	164235707	166207656	168218997	170190412	171848903	173159400	174472856	175424770	176021671	176384107	176584683	176888264	177141966	177264918	177217970	177232529	177225890	177199870	177256554	177392652	177561031	177830325	178304234	179038970	179936366	181015617	182148879	183317944	184679214	186141959	187618081	188972425	190096032	190939121	191727236	192341094	192718884
Europe & Central Asia	male	315935467	319944759	324033651	328131414	332212794	336171294	339716995	343213615	346570911	349790494	352538393	355313087	358518998	361617110	364601245	367471946	370232087	372915851	375595395	378243675	380993976	383679281	386143081	388548397	391045055	393585197	396230189	398953083	401705660	404247322	406484527	408726156	410494583	411952146	412994506	413737578	414513399	415208997	415749014	416196372	416645435	417173423	417917777	419006056	420260611	421552438	422892620	424492486	426347089	428151354	429920485	431070707	432942904	435209270	437615154	440014027	442281713	444153492	445740213	447031589	448033095	448388641
Ecuador	male	2304714	2372161	2442437	2515239	2590590	2668532	2748669	2830968	2915556	3002235	3090805	3181137	3273435	3367770	3463989	3562161	3662247	3764152	3867860	3973368	4080613	4189507	4299966	4412006	4525917	4641873	4759944	4879594	4999645	5119573	5239060	5356901	5470462	5579330	5686302	5792883	5899241	6005171	6110733	6216530	6323386	6432559	6544813	6659818	6776204	6893501	7012450	7133070	7254593	7376503	7498852	7622056	7744557	7863795	7981215	8100227	8222126	8350700	8509651	8672767	8790148	8886835
Euro area	male	127262048	128456632	129671384	130907724	132155965	133423970	134634727	135713747	136734068	137742435	138573099	139421175	140432351	141370623	142207492	142957051	143603068	144205217	144828648	145459895	146168132	146813794	147260783	147586337	147852062	148155317	148556305	149005762	149544784	150230178	150974092	151834027	152604625	153290752	153788936	154223441	154651567	155042436	155383995	155793690	156312395	156920355	157714868	158622939	159559949	160454424	161262013	162154742	163000046	163560532	163965374	163627434	164019073	164610837	165209806	165771796	166327754	166746152	167197799	167421909	167668724	167760341
Eritrea	male	489060	500395	512361	524886	537919	551436	565379	579689	594356	609510	625299	641737	658748	676310	694267	712442	731048	750299	770202	790775	812236	834674	857745	881487	905768	929960	954625	979510	1004548	1029276	1052778	998866	941490	971841	1002615	1060244	1113928	1127830	1141498	1153127	1168024	1202597	1245585	1298813	1353934	1388443	1412834	1436133	1476246	1515585	1547741	1577851	1600542	1622649	1636349	1644779	1657572	1673563	1697963	1724860	1753513	1785840
Spain	male	14789308	14936927	15082607	15223155	15382294	15557504	15724828	15925732	16141347	16306622	16495603	16703109	16895555	17091766	17298782	17506430	17700851	17891568	18072198	18238490	18389957	18524345	18637604	18728826	18805529	18870943	18923648	18968186	19001998	19023375	19032084	19074789	19169415	19271068	19365015	19451716	19533321	19616079	19698974	19780445	19870967	20010746	20315259	20720462	21117720	21516423	21909832	22347342	22729625	22927127	23014206	23074622	23059451	22948775	22853324	22817982	22821680	22858897	22946018	23104636	23213643	23236837
Estonia	male	534938	543128	552783	562782	573163	583209	591658	598325	605806	614167	622307	630909	638940	646016	652480	658454	663982	669611	674864	679219	683975	689457	695058	700486	705747	711129	717180	723730	729143	732882	734308	731093	716629	696893	681549	668895	658673	651180	645248	647668	651122	646722	642160	637741	633621	629862	626127	623190	621710	621054	620239	618917	617158	615543	614645	615901	617086	619270	623319	627427	629878	631228
Ethiopia	male	10771242	11039406	11321972	11617939	11927691	12252163	12575209	12910233	13271850	13645730	14033184	14427506	14821612	15220993	15615559	15993930	16393050	16704155	16981139	17227992	17322370	17758243	18452762	18961516	19443213	19987151	20579465	21289284	22133893	22988253	23837617	24887534	25948649	26854459	27785476	28728074	29679084	30643051	31616973	32605500	33605361	34630056	35686336	36760688	37852598	38961005	40093124	41263931	42458192	43667289	44916491	46215601	47540484	48862026	50196354	51560461	52968539	54418849	55882976	57375433	58906550	60443404
European Union	male	171868092	173417763	175005690	176641676	178314918	179942774	181505448	183019818	184434487	185787457	186884108	187967029	189297049	190566565	191773670	192937674	193986411	194959383	195893982	196791268	197754816	198648893	199342411	199892201	200370034	200869237	201452192	202077018	202759562	203476180	204192932	204937480	205576783	206283459	206826725	207229813	207568702	207875771	208139838	208462505	208718069	209008649	209510879	210310659	211168337	211993456	212745812	213521234	214266863	214816683	215149054	214799265	215160955	215730372	216317099	216868300	217418550	217836653	218291197	218522907	218709670	218479877
Fragile and conflict affected situations	male	119655876	122274072	125010567	127831867	130733709	133704669	136723030	139811356	142990927	146240948	149540085	152973421	156539395	160221087	164105769	168140321	172430925	176748148	180967830	185384890	189765938	193916258	198298938	202947826	207790134	212771729	217714054	222708129	227666884	232922496	239200115	244652390	250918086	257720999	265012701	272116778	278330515	284451578	290814966	297490002	304251829	311181539	318925279	327066681	335082649	343295109	351698563	360094594	368871569	378179096	387711524	397323068	407216003	417286395	427158436	436924554	446889999	457010814	467191287	477743511	488751051	499784123
Finland	male	2133317	2149940	2165863	2182272	2195394	2203709	2212797	2225311	2235816	2234765	2225004	2226927	2241488	2255565	2267962	2277958	2284264	2291060	2298261	2303815	2310844	2321190	2335197	2350041	2363221	2373523	2381836	2389370	2397107	2407033	2419442	2434583	2450114	2463690	2475883	2486639	2496118	2504829	2512582	2519554	2526195	2533485	2541277	2548930	2557498	2567217	2578051	2590275	2604239	2618383	2631775	2645524	2659632	2673534	2686141	2696703	2706934	2715752	2721234	2725793	2731054	2737509
Fiji	male	207442	213690	220167	226917	233732	240528	247083	253063	258556	263844	268980	273966	278722	283169	287485	292053	297295	303585	310788	318457	326375	334473	342720	351108	359666	368206	375943	382126	387005	391272	395252	397606	398800	400150	401132	402034	404336	408566	413525	418510	423305	427971	432518	437004	441500	445918	450318	454459	457414	459159	460442	461408	462138	462716	463134	463293	463229	462926	462276	461366	461878	463683
France	male	22627879	22894677	23164060	23429559	23710731	23993157	24267874	24533390	24781319	25014250	25245511	25482418	25713109	25924180	26106391	26254437	26374838	26495395	26618568	26742120	26881168	27030614	27181669	27319315	27447795	27580227	27714041	27850349	27986795	28118685	28243494	28482463	28613713	28727236	28823205	28916978	29010878	29106564	29207912	29353386	29550671	29761295	29973050	30182216	30399010	30619951	30825573	31008324	31174324	31328492	31477219	31623120	31771596	31932616	32078475	32189247	32271469	32363229	32477716	32586250	32670705	32750940
Faroe Islands	male	17738	17974	18201	18446	18704	18980	19235	19445	19637	19818	20021	20259	20500	20744	20991	21235	21472	21700	21950	22225	22505	22787	23064	23323	23557	23777	24005	24244	24485	24756	24738	24356	23901	23395	22848	22654	22834	23020	23203	23373	23613	23924	24241	24567	24900	25081	25096	25109	25130	25151	25139	25106	25084	25070	25050	25209	25570	25959	26360	26749	27130	27380
Gabon	male	251226	254215	257430	260853	264463	268303	272408	276743	281320	286816	293086	299334	305633	312125	318926	326117	333754	341866	350442	359435	368854	378741	389067	399825	410990	422526	434462	446815	459563	472618	485917	499452	513249	527302	541489	555859	570495	585449	600867	616795	633381	650791	669040	688174	708467	730264	753766	779034	805971	834773	865821	899015	933766	969160	1003790	1036303	1066111	1093401	1119168	1144323	1168822	1192411
United Kingdom	male	25309533	25519603	25753068	25960708	26143238	26323655	26479971	26633598	26774403	26895736	27012750	27137139	27240589	27304012	27331069	27336711	27336512	27332841	27337338	27363607	27396170	27403494	27390617	27395640	27433466	27490745	27550103	27604622	27662925	27734053	27816770	27903023	27980155	28050576	28126906	28207182	28287113	28370938	28466582	28576570	28695232	28822894	28964154	29120962	29309526	29533818	29773916	30029168	30290652	30543717	30805860	31069406	31309446	31543950	31799385	32074811	32340918	32581496	32798279	33000535	33133010	33261078
Georgia	male	1727281	1755921	1783961	1811532	1838454	1864094	1880902	1889137	1896277	1904247	1917920	1937768	1956979	1974054	1991213	2005998	2020830	2035217	2047807	2063264	2081929	2101354	2121408	2141877	2161301	2181150	2201234	2220262	2243275	2249512	2248824	2264499	2281403	2297452	2260687	2175927	2096653	2028695	1977664	1935952	1896863	1865663	1847424	1835929	1827628	1818897	1811111	1804474	1802022	1788952	1778715	1767150	1756606	1753480	1754655	1756212	1756252	1755805	1754637	1750910	1751135	1743681
Ghana	male	3532760	3625584	3703083	3783164	3865729	3951345	4039637	4130384	4224229	4323606	4434570	4557222	4686474	4820445	4959155	5103275	5254456	5410158	5570027	5736363	5901519	6067967	6245235	6430238	6600124	6753775	6913108	7082319	7262827	7453612	7651915	7851838	8052872	8256620	8454648	8649656	8849008	9059526	9282832	9513907	9759725	10028005	10312728	10601193	10892403	11190399	11494181	11801766	12113292	12428179	12742737	13060897	13388449	13722904	14059371	14397364	14739510	15073582	15398027	15723678	16051315	16375536
Gibraltar	male	10428	10493	10710	11057	11406	11755	12107	12450	12786	13114	13411	13619	13754	13877	13994	14100	14198	14289	14366	14435	14498	14537	14572	14595	14585	14547	14477	14375	14258	14120	13951	13794	13755	13809	13853	13877	13881	13879	13873	13864	13844	13790	13863	14081	14300	14527	14749	14954	15158	15373	15598	15823	16064	16192	16201	16223	16244	16268	16297	16320	16337	16317
Guinea	male	1746844	1776820	1807830	1839809	1872799	1906864	1942109	1978580	2016301	2054454	2091820	2127863	2162488	2196117	2228818	2260555	2291789	2323157	2355865	2391693	2431622	2475943	2525327	2579535	2638602	2703395	2774100	2850373	2930590	3012075	3122934	3255829	3366236	3475466	3585501	3691007	3801363	3875996	3943988	4033553	4109599	4150573	4206776	4303547	4395576	4479878	4570372	4676528	4791806	4911573	5035358	5163256	5292876	5425320	5564217	5711742	5866792	6024466	6184649	6349991	6518034	6685900
Guinea-Bissau	male	290443	293170	296552	298692	295185	287961	283591	284402	288783	290327	291572	292353	292454	295474	304952	322171	342025	363930	386899	400529	405704	412059	418528	425076	431671	438317	445055	451937	459043	466411	473862	483757	497946	514533	530680	544297	555888	566751	577270	588004	599950	613138	627230	642205	657912	674317	691579	709928	728980	748466	768572	789578	811572	834247	857202	880191	903188	926027	948791	971745	994606	1017216
Equatorial Guinea	male	131408	133874	136524	139344	142329	145493	148847	152386	155936	157539	156257	153541	150219	146625	142907	139208	135397	132945	132660	134065	138225	145367	154648	165087	175721	185921	195370	204119	212524	220931	229490	238284	247373	256817	267057	278197	289966	302418	315548	329318	345748	364688	383968	403668	423972	445146	467474	491133	516140	542409	569731	597134	624500	652487	680902	709490	738048	766354	794308	821881	844153	863375
Greece	male	4070317	4099682	4121116	4133142	4144845	4160997	4188377	4219678	4245054	4258929	4267600	4285912	4314319	4334986	4353163	4397370	4469774	4532578	4596859	4660319	4712495	4761268	4797111	4831292	4861096	4885548	4907230	4928916	4951876	4982751	5041099	5107652	5152634	5188949	5220681	5250089	5277141	5306543	5338972	5361389	5383939	5411473	5429975	5440592	5450600	5461841	5472470	5479882	5487237	5493722	5492782	5476950	5439813	5393788	5352340	5312418	5286884	5273998	5261328	5254476	5242307	5212831
Grenada	male	43587	44337	44925	45456	45938	46364	46721	46989	47149	47219	47230	47200	47145	47081	47008	46934	46847	46724	46569	46392	46306	46586	47286	48104	48829	49379	49646	49639	49428	49239	49267	49700	50392	51013	51570	52066	52513	52918	53294	53663	54035	54340	54535	54821	55220	55599	55973	56349	56743	57148	57562	57983	58426	58897	59367	59819	60258	60681	61090	61483	61916	62356
Greenland	male	16537	17204	17940	18724	19398	20270	21012	21837	22713	23594	24480	24993	25668	26140	26513	26675	26833	26741	26676	26928	27269	27707	27981	28314	28656	28937	29097	29405	29753	29984	30079	29931	29736	29597	29675	29806	29881	29951	30014	30017	30058	30118	30229	30279	30324	30317	30212	30070	29928	29908	30188	30144	30068	29871	29748	29633	29660	29643	29561	29662	29711	29809
Guatemala	male	2111758	2174152	2238305	2303904	2370614	2438039	2506019	2574222	2642224	2709623	2776446	2843018	2909638	2976723	3044171	3111616	3180194	3250352	3322794	3399326	3480746	3566681	3654169	3746550	3846881	3951145	4058771	4169662	4283814	4400815	4519890	4639697	4759306	4878592	4998864	5121080	5243706	5366953	5493408	5623370	5760216	5898649	6034184	6165563	6296273	6426631	6556342	6685344	6813669	6941334	7068420	7196825	7324702	7453516	7582657	7711363	7839799	7968085	8096410	8223795	8348500	8470073
Guam	male	44329	44777	45236	45712	46200	46681	47148	47590	47999	48362	48913	49754	50655	51529	52368	53158	53919	54659	55373	56084	57200	58825	60538	62202	63819	65410	66997	68585	70168	71646	72873	73897	74846	75754	76621	77450	78230	78977	79710	80445	81191	81879	82448	82900	83243	83485	83629	83676	83648	83559	83691	84025	84350	84636	84833	84996	85126	85205	85186	85102	85317	85879
Guyana	male	285255	293635	301680	309541	317087	324115	330515	336303	341575	346442	350955	355163	359137	362985	366800	370625	374475	378252	381731	384532	386243	386899	386803	386092	384832	383082	380910	378407	375663	372752	369694	368058	368670	370139	371689	373128	374420	375563	376625	377625	378495	379218	379813	379988	379674	379057	378137	376976	375558	373882	371984	369890	369501	370411	370931	371621	372409	373282	386040	392821	389899	393635
High income	male	381109605	385953843	390901074	395806242	400701389	405395422	409757534	413901339	418073883	422395444	426790755	432060629	436669181	441076266	445387759	449587302	453483667	457325592	461189741	465201811	469141985	473068260	476747774	480193000	483451621	486760333	490211819	493747522	497374720	501269084	505062530	509356536	513776534	517939308	521775047	525400274	529060251	532658514	536171614	539650857	543091348	546498149	549881678	553287554	556833564	560665531	565239850	570317923	575599286	580318514	584219489	586962767	590601943	594325178	598060177	601892440	605850983	609285973	612508438	615249555	617587617	617176895
Honduras	male	1041528	1072293	1103927	1136573	1170166	1204864	1240675	1277484	1315605	1355232	1396377	1439260	1484066	1530063	1575978	1624761	1677576	1731970	1787861	1845334	1904243	1964410	2025617	2087875	2151120	2215256	2280478	2346758	2413799	2482140	2552537	2625035	2699664	2776401	2855202	2935993	3018776	3103590	3187439	3273539	3364459	3456257	3548604	3641043	3733128	3825041	3916738	4007762	4097779	4186810	4274733	4361400	4446997	4531602	4615611	4699291	4782635	4865783	4948831	5031794	5112980	5190703
Heavily indebted poor countries (HIPC)	male	81071520	83033113	85079628	87206529	89423587	91735553	94119419	96605481	99213036	101906025	104686777	107542962	110423317	113412163	116580600	119855361	123194709	126525383	130113091	133842535	137040615	139979395	143437319	147320852	151351292	155494684	159682937	164041770	168498268	173130463	177745424	182449128	187937372	193975926	199828916	205618196	211530678	217422522	223464534	229738360	236012067	242458618	249685933	257294286	264773282	272477674	280498702	288493588	296732074	305349379	314062812	323063675	332369183	341931491	351944266	362230761	372887792	383939599	395065568	406298517	417765157	429282159
Croatia	male	1967124	1982335	1999175	2016221	2032715	2049710	2067584	2084345	2100245	2115332	2127567	2138614	2149296	2159640	2170147	2180939	2192706	2204072	2214152	2220327	2222445	2228144	2239610	2251748	2262696	2273227	2283265	2292457	2300082	2305895	2310589	2266244	2209617	2221370	2246953	2231411	2199470	2186331	2182191	2169537	2144720	2061946	2063084	2063864	2064901	2068225	2069605	2070255	2071183	2070404	2067480	2062281	2057943	2054271	2048178	2033789	2021957	2000221	1984862	1976146	1969718	1898394
Haiti	male	1900094	1936249	1972834	2008807	2045546	2084076	2122973	2162528	2202909	2244037	2286026	2328791	2372153	2416052	2461237	2508504	2557820	2609097	2662099	2716678	2772769	2830664	2890590	2951886	3014369	3078510	3144400	3212126	3281632	3352450	3424381	3495927	3566758	3637876	3709066	3780740	3853209	3926240	3999769	4074254	4150198	4226169	4301197	4376534	4451252	4526364	4603020	4679659	4756176	4833100	4890743	4947739	5023564	5098458	5172525	5246167	5319125	5391671	5463738	5535128	5605395	5672850
Hungary	male	4816675	4841626	4859858	4874757	4892306	4908017	4925252	4946089	4967343	4990265	5010035	5023642	5038188	5054466	5077147	5107479	5136248	5160356	5177833	5186799	5188083	5184439	5177354	5165259	5149737	5135352	5122256	5109530	5097716	5038032	4981614	4977083	4970390	4959327	4947110	4935123	4922451	4908952	4893437	4875505	4859206	4844925	4828263	4811880	4799327	4789543	4782418	4774715	4766498	4760006	4750174	4740061	4719977	4709367	4699323	4691952	4681743	4673310	4673638	4678279	4672304	4654334
IBRD only	male	962608929	973587735	991178703	1014880035	1038601724	1062510163	1087753699	1112877565	1138764856	1165731432	1193200082	1221322739	1249081156	1276709611	1303896362	1330202893	1356088923	1381538330	1407030148	1432802572	1458964669	1486058505	1514321437	1542588935	1570720649	1599295338	1628987642	1659811124	1690829850	1721426457	1751786187	1781474057	1809705783	1837020198	1864097764	1890933434	1917576757	1944235750	1970545610	1996022963	2020693372	2044876106	2068379298	2091587666	2114767535	2137702827	2159977017	2181671591	2203645357	2225928407	2248068439	2271077895	2295370298	2320404974	2345355184	2369513225	2392569535	2414788487	2435273592	2454088328	2470682972	2483784632
IDA & IBRD total	male	1156477689	1172257960	1194846902	1223739257	1252856817	1282374772	1313398039	1344497962	1376584666	1409912594	1443766792	1477768869	1511626906	1546206125	1580645471	1614262875	1647477439	1680541914	1714166302	1748520041	1783456862	1819510133	1857238461	1895256496	1933199085	1971916452	2011957183	2053334930	2094991721	2136494542	2177954592	2218825136	2258697649	2298224106	2337573103	2376704627	2415843377	2455004548	2493933989	2532313856	2570380535	2608354081	2646076487	2683631295	2721112959	2758509722	2795583750	2832339070	2869378139	2907104064	2945518774	2985125442	3025686946	3066570572	3107433337	3147722933	3187473491	3227143028	3265645066	3303081763	3339034548	3371829977
IDA total	male	193868760	198670225	203668199	208859222	214255093	219864609	225644340	231620397	237819810	244181162	250566710	256446130	262545750	269496514	276749109	284059982	291388516	299003584	307136154	315717469	324492193	333451628	342917024	352667561	362478436	372621114	382969541	393523806	404161871	415068085	426168405	437351079	448991866	461203908	473475339	485771193	498266620	510768798	523388379	536290893	549687163	563477975	577697189	592043629	606345424	620806895	635606733	650667479	665732782	681175657	697450335	714047547	730316648	746165598	762078153	778209708	794903956	812354541	830371474	848993435	868351576	888045345
IDA blend	male	61759082	63238774	64780147	66403769	68091793	69848747	71671028	73533590	75447220	77431348	79485059	81539549	83661430	85944279	88351761	90897632	93564151	96341489	99196598	102240757	105903587	109875185	113627349	117108800	120498494	124168870	128045186	132016429	136070991	140176641	144322720	148505886	152410074	156319922	160488614	164797664	169283472	173791684	178352341	182977947	187977122	193150704	197995393	202699595	207563720	212464405	217461765	222661706	228038472	233638361	239560531	245435023	250924635	256227316	261467552	266449087	271215780	276253737	281636749	287211939	293101441	299221448
Indonesia	male	44084045	45311709	46589573	47913104	49281528	50487080	51646935	52999128	54444848	55956550	57502387	59067130	60651504	62261105	63887234	65530199	67192815	68871718	70577452	72313976	74074893	75852998	77653209	79464113	81267061	83032697	84738312	86416651	88089745	89750633	91388784	93025425	94662415	96284542	97911576	99551030	101200715	102859007	104503918	106101569	107664942	109210886	110738346	112245542	113702084	115167468	116685330	118236404	119801561	121344803	122882663	124451334	126039491	127582414	129071050	130517327	131909809	133245399	134536680	135798442	136927582	137852478
IDA only	male	132109678	135431451	138888052	142455453	146163300	150015862	153973312	158086807	162372590	166749814	171081651	174906581	178884320	183552235	188397348	193162350	197824365	202662095	207939556	213476712	218588606	223576443	229289675	235558761	241979942	248452244	254924355	261507377	268090880	274891444	281845685	288845193	296581792	304883986	312986725	320973529	328983148	336977114	345036038	353312946	361710041	370327271	379701796	389344034	398781704	408342490	418144968	428005773	437694310	447537296	457889804	468612524	479392013	489938282	500610601	511760621	523688176	536100804	548734725	561781496	575250135	588823897
Isle of Man	male	22394	22197	22315	22548	22788	23033	23394	23946	24590	25247	25913	26536	27072	27564	28029	28450	28849	29267	29694	30129	30574	30855	30916	30906	30875	30825	30985	31460	32032	32616	33211	33681	33965	34196	34419	34632	34936	35374	35879	36413	36936	37423	37876	38310	38739	39166	39629	40130	40639	41136	41621	41880	41844	41721	41575	41414	41340	41407	41508	41583	41630	41736
India	male	230135579	235560577	241125862	246813291	252612930	258373487	264041608	269770979	275736482	281934206	288292405	294818942	301529376	308465459	315584063	322800952	330077580	337496325	345069608	352826329	360875327	369149846	377542519	386102269	394865497	403766421	412811682	421960524	431194389	440551295	449984059	459463492	469046096	478735976	488535405	498432465	508349160	518303618	528287413	538244360	548223581	558291332	568334873	578236241	587990365	597477666	606611392	615506279	624242020	632892402	641566029	650244390	658839435	667322883	675549357	683543213	691623419	699587889	707149230	714325057	720997448	726503429
Not classified	male																																																														
Ireland	male	1422204	1419004	1424473	1432708	1439603	1444767	1450349	1457153	1463700	1472068	1484077	1501477	1524217	1549090	1575174	1601629	1626372	1648963	1672616	1694460	1713344	1732508	1747291	1758030	1767461	1768629	1767391	1764810	1753625	1744405	1745955	1756774	1769162	1777805	1783589	1791480	1805341	1823528	1843055	1864595	1890633	1921225	1953068	1985565	2025466	2075615	2137329	2199761	2239936	2256891	2264844	2271361	2278653	2289543	2304438	2325945	2353419	2379975	2410562	2444120	2469767	2494030
Iraq	male	3501934	3588279	3697557	3823509	3953523	4089394	4230615	4377904	4532175	4692989	4861123	5034242	5212026	5396157	5582118	5768586	5960332	6163309	6375800	6585791	6794916	6994421	7184450	7392410	7618765	7797536	7985216	8200728	8383925	8602307	8708041	8802674	9075924	9535050	10015107	10371444	10723470	11076608	11445529	11836024	12245808	12649980	13070653	13479925	13872761	14287950	14384444	14253474	14526220	15062364	15555695	16119318	16870903	17688677	18331660	18850267	19328788	19794794	20289270	20788703	21297577	21797409
Iceland	male	88692	90479	92200	93883	95539	97192	98876	100514	101919	102850	103376	104176	105668	107264	108740	110124	111169	111929	112746	113820	114986	116274	117826	119310	120485	121361	122170	123490	125443	126980	127908	129318	130906	132254	133400	134080	134750	135817	137243	138853	140748	142645	143855	144829	146269	149173	153876	158725	161475	160997	159964	160180	160900	162375	164245	166216	169141	174307	180210	184880	187982	190942
Israel	male	1067329	1101529	1154422	1196262	1243209	1286204	1318186	1375313	1403499	1439776	1487627	1534512	1573386	1637737	1686478	1724524	1762258	1800754	1837687	1883870	1927766	1964553	1999910	2034740	2059473	2094016	2124486	2156811	2190863	2226769	2295386	2436515	2521212	2588614	2656376	2728331	2801229	2872890	2940245	3017254	3099279	3174306	3240065	3300450	3360721	3422076	3484797	3548771	3613709	3702341	3772673	3846087	3920849	3997866	4078523	4163174	4248793	4335046	4421961	4509772	4592300	4668451
Italy	male	24345052	24498760	24665521	24854559	25069667	25292400	25499641	25694120	25865943	26019665	26164656	26294708	26445677	26621405	26791418	26945508	27072044	27177189	27262224	27328394	27409982	27469197	27480589	27483892	27483440	27484648	27480185	27477010	27484491	27499059	27515574	27527215	27538491	27548717	27546249	27537757	27537434	27544913	27545248	27542538	27550271	27563815	27608392	27742139	27937545	28085940	28171789	28309208	28490726	28614327	28692324	28735593	28823419	29177490	29460113	29452171	29433527	29426940	29408951	29090818	28957843	28809574
Jamaica	male	779985	791673	802711	813835	825644	837766	849896	861995	873995	886340	899653	913601	928069	943083	957938	972163	985537	998565	1011766	1025528	1040458	1056703	1073917	1091294	1107696	1122274	1134719	1145386	1155138	1164834	1174572	1184934	1197146	1210637	1224386	1238101	1250847	1262747	1274354	1284878	1293403	1300463	1307197	1313748	1320251	1326570	1332880	1338676	1343912	1349628	1355508	1361767	1368899	1376070	1382315	1387628	1391829	1394537	1396014	1396657	1399668	1402951
Jordan	male	434026	456386	478171	500577	526499	559197	599726	647246	698932	750054	796630	837127	872386	904693	935735	966193	996367	1027407	1060123	1095490	1135876	1181841	1232877	1288363	1347259	1409472	1475133	1544072	1616836	1695300	1786576	1891560	2005399	2123820	2237050	2334833	2412829	2474101	2526314	2575938	2625119	2675503	2728993	2787502	2855309	2928895	3131561	3334553	3414636	3488622	3564227	3654198	3704706	3968884	4497632	4944708	5185852	5312425	5435573	5555605	5670775	5780154
Japan	male	45781584	46199936	46638689	47121412	47623010	48147303	48596109	49110132	49680393	50290247	50889572	52036797	52789115	53556426	54293397	55005885	55609808	56157599	56673723	57154300	57600950	58012790	58405692	58801004	59169830	59527459	59831130	60105757	60341874	60567483	60749784	60968023	61172864	61348187	61494860	61612103	61723445	61841728	61977978	62057082	62126711	62241801	62351052	62447363	62430367	62398129	62402271	62443045	62444510	62409801	62397763	62263573	62148992	62046104	61951317	61873910	61830297	61765051	61670382	61567714	61375600	61087180
