Data Source																																																															
																																																															
Last Updated Date																																																															
																																																															
Country Name	Sex	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
Antigua and Barbuda	male	26377	26832	27210	27587	27997	28424	28838	29264	29709	30173	30515	30620	30552	30402	30243	30117	30067	30107	30194	30314	30433	30509	30567	30637	30679	30668	30641	30597	30548	30515	30494	30718	31172	31622	32099	32619	33171	33735	34279	34782	35307	35831	36301	36745	37188	37660	38181	38745	39367	40012	40597	41141	41653	42096	42488	42853	43176	43461	43715	43961	44236	44511
Australia	male	5191737	5294827	5420102	5519968	5626621	5735918	5865981	5938043	6042010	6168475	6288760	6501340	6618916	6718367	6887192	6967121	7030648	7103359	7179733	7251825	7335839	7448959	7579934	7685480	7778465	7883844	7999185	8119214	8249470	8387772	8510043	8614731	8707078	8780847	8862401	8958307	9062811	9155427	9241838	9339151	9443035	9563615	9673988	9787220	9894184	10017910	10158068	10352205	10570891	10797546	10967548	11119039	11312918	11504523	11668610	11827651	12005262	12200675	12383903	12570509	12730885	12752077
Austria	male	3282698	3302775	3325798	3350601	3376789	3403783	3433943	3465960	3487899	3502549	3517940	3537389	3562651	3587388	3593970	3580551	3572618	3574870	3572297	3565870	3567006	3580136	3586340	3582853	3585634	3591139	3598187	3605366	3615788	3638724	3675149	3721041	3769660	3806906	3825993	3834145	3840597	3846259	3852266	3862269	3874820	3894335	3918661	3941237	3968722	3999610	4022191	4036230	4049665	4061602	4072621	4088543	4110918	4139517	4177916	4236544	4292559	4325519	4347806	4367938	4387322	4407703
Azerbaijan	male	1848521	1924610	1987111	2051020	2124561	2192985	2260404	2323094	2381994	2439993	2495089	2551112	2605902	2657825	2708632	2756932	2799996	2840076	2882083	2924209	2965614	3010893	3057648	3105896	3157516	3207024	3255821	3306970	3357185	3410002	3460922	3510640	3566397	3622427	3669770	3706920	3738968	3769700	3800154	3832703	3868986	3904764	3939827	3975655	4018433	4069677	4124857	4182354	4281933	4379608	4436811	4499932	4564895	4628966	4691683	4752032	4808608	4858524	4903447	4948191	4982975	5002750
Burundi	male	1327479	1362374	1398392	1429107	1471978	1514448	1552097	1592940	1632156	1668382	1705319	1747773	1744277	1737879	1782142	1827328	1868707	1917383	1973728	2023076	2111101	2200360	2256465	2319037	2377358	2430585	2477671	2535793	2592008	2642012	2696792	2752155	2826558	2731724	2746542	2919889	2918157	2914369	2969875	3042158	3105481	3183686	3274704	3380524	3510499	3644928	3779881	3923619	4090782	4306730	4516033	4681456	4852194	5030076	5203501	5319770	5407865	5534391	5703611	5894278	6066599	6231786
Belgium	male	4485957	4499626	4516729	4549939	4592652	4634040	4664994	4690554	4708377	4720938	4724981	4733102	4750850	4764834	4779013	4792118	4799882	4805025	4808931	4812821	4817674	4817187	4815874	4815773	4815805	4817096	4818997	4823512	4839026	4856886	4871740	4890237	4910448	4929878	4945368	4955829	4965490	4977707	4988730	5000507	5012963	5030684	5053895	5076053	5099079	5128227	5163364	5202866	5245964	5290436	5341400	5414163	5450949	5480089	5508176	5544490	5576976	5602537	5632391	5667234	5695855	5725724
Benin	male	1196813	1217649	1240048	1263722	1288754	1315128	1342706	1371386	1401205	1432293	1464613	1498206	1533300	1569818	1607735	1647324	1688899	1732575	1778156	1825979	1876734	1930502	1986802	2045101	2105387	2168164	2233753	2302156	2373455	2447578	2524606	2604643	2687329	2812168	2921767	2984662	3065171	3158795	3259075	3362608	3468525	3576763	3688186	3803644	3923249	4050781	4177609	4302650	4434190	4568957	4707267	4849408	4995588	5145619	5301391	5463004	5629265	5800206	5974735	6152125	6330776	6509711
Burkina Faso	male	2435126	2463953	2493708	2524814	2557598	2592647	2629269	2667404	2707427	2748385	2790452	2832220	2874506	2919499	2968846	3023694	3084691	3154527	3232244	3315608	3404945	3498550	3596030	3699863	3809712	3923166	4036421	4148278	4260793	4374767	4490875	4604319	4716845	4833999	4956441	5084665	5215501	5350815	5503193	5672628	5850935	6038895	6235842	6441322	6655617	6876721	7101155	7323354	7542832	7767361	7999494	8241604	8498100	8760692	9028931	9305419	9587217	9870655	10150983	10431262	10718602	11010698
Bangladesh	male	26157018	26915881	27723366	28562367	29428178	30318485	31229986	32177969	33152764	34118800	34998362	35303433	35668281	36604007	37543084	38432400	39256573	40122855	41051417	41996760	43009114	44136305	45364525	46644452	47921378	49158092	50335495	51465660	52585509	53715914	54881321	55963154	56993734	58073609	59178327	60264993	61300126	62369360	63503082	64686174	65883360	67083138	68254669	69348344	70392333	71337878	72029553	72599534	73036822	73488956	74213622	75035683	75898562	76786999	77673568	78535803	79459393	80422431	81314565	82164179	83063714	83998088
Bulgaria	male	3870000	3911289	3949507	3985190	4020764	4052309	4080320	4106886	4136512	4168347	4195535	4218224	4237148	4258500	4286205	4305897	4323270	4344169	4347145	4350854	4365707	4377342	4387238	4394409	4400314	4395609	4389586	4391125	4391111	4335085	4252523	4205732	4155659	4116568	4096028	4071321	4044623	4015265	3984016	3958158	3936609	3857899	3774971	3745714	3718227	3691351	3665020	3640438	3617711	3597386	3576521	3555965	3537445	3519159	3500151	3478837	3455141	3430331	3406489	3383675	3363373	3335414
